Day,Date, Revenues 
1,11/19/1999," $12,317,000 "
2,11/20/1999," $14,435,000 "
3,11/21/1999," $8,767,000 "
4,11/22/1999," $2,601,914 "
5,11/23/1999," $3,363,208 "
6,11/24/1999," $4,828,000 "
7,11/25/1999," $5,742,000 "
8,11/26/1999," $9,963,878 "
9,11/27/1999," $9,157,000 "
10,11/28/1999," $4,333,000 "
11,11/29/1999," $1,069,725 "
12,11/30/1999," $1,247,007 "
13,12/1/1999," $1,002,614 "
14,12/2/1999," $966,764 "
15,12/3/1999," $3,268,890 "
16,12/4/1999," $4,741,000 "
17,12/5/1999," $2,640,000 "
18,12/6/1999," $655,010 "
19,12/7/1999," $817,007 "
20,12/8/1999," $690,007 "
21,12/9/1999," $645,660 "
